timestamp,coin_name,symbol,price_usd,volume_24h,market_cap
2022-11-17 10:12:26.654933100,BonfimCoin,BFC,0.0151840864165208,575787.789368975,4753653.62845569
2022-04-30 22:46:07.591351828,BonfimCoin,BFC,0.0422806155782786,524284.494337958,12684184.6734836
2022-07-13 00:12:19.598791976,BonfimCoin,BFC,0.0247065968863235,371892.163096944,7411979.06589707
2022-12-23 20:17:51.669433388,BonfimCoin,BFC,0.0154962952500145,374290.295825863,4648888.57500437
2023-02-25 13:17:55.197503952,BonfimCoin,BFC,0.01,505390.458927271,3000000
2024-12-21 00:19:17.783155664,BonfimCoin,BFC,0.01,485677.004232044,3000000
2024-01-15 16:20:03.288065760,BonfimCoin,BFC,0.01,555157.773740092,3000000
2022-11-10 05:48:25.762115244,BonfimCoin,BFC,0.0155910510931219,586545.587364279,4677315.32793659
2022-11-28 14:16:07.555351108,BonfimCoin,BFC,0.0152153081241451,457904.266077827,4564592.43724354
2024-02-17 06:26:33.679873600,BonfimCoin,BFC,0.01,387685.281646932,3000000
2024-03-04 03:30:37.116742336,BonfimCoin,BFC,0.01,564141.798908695,3000000
2022-05-09 17:00:46.728934578,BonfimCoin,BFC,,596247.311947618,13860493.6065595
2024-09-22 09:31:24.205684112,BonfimCoin,BFC,0.01,377579.159964692,3000000
2022-07-11 07:44:00.364807296,BonfimCoin,BFC,0.0250503062150842,370782.667836359,7515091.86452528
2024-12-15 13:26:40.520010400,BonfimCoin,BFC,0.01,648176.965785025,3000000
2024-05-17 09:51:20.005600112,BonfimCoin,BFC,0.01,568068.484109958,3000000
2022-09-18 13:42:49.947398948,BonfimCoin,BFC,0.0278837441256601,365138.033295716,8365123.23769803
2024-05-05 19:48:27.346146928,BonfimCoin,BFC,0.01,622435.893636032,3000000
2023-07-08 21:12:55.671513432,BonfimCoin,BFC,0.01,496092.338504313,0
2022-11-20 06:00:40.176803536,BonfimCoin,BFC,0.0167396823768377,451646.313360819,5021904.71305134
